Name,Address,Province,lon,lat
No Frills,L6Y 0L8,Ontario,-79.756285,43.644241
Pharmasave Bovaird Spingdale,L6R 0W3,Ontario,-79.7391112,43.7506259
Potters Wheel Pharmacy,L7A 3E5,Ontario,-79.8143534,43.7085802
Pulse Pharmacy,L6R 3S9,Ontario,-79.7790614,43.7728886
Queen Hansen Pharmacy,L6V 1C2,Ontario,-79.7452451,43.7000588
Queen Lynch Pharmacy,L6W 3X4,Ontario,-79.7534156,43.6916226
Rexall,L6Z 0A4,Ontario,-79.7874697,43.7241733
Rexall,L6X 1B3,Ontario,-79.7709589,43.6760198
Rexall,L6V 1N2,Ontario,-79.7570735,43.7038697
Rexall,L6R 3J7,Ontario,-79.741039,43.7482824
Rexall,L6Y 1N7,Ontario,-79.7364823,43.6657494
Rexall,L6Z 0E6,Ontario,-79.786769,43.7066201
Rexall,L6Y 4E7,Ontario,-79.7453327,43.6547537
Sandalwood Care Pharmacy,L6R 3M9,Ontario,-79.7489252,43.7678014
Shoppers Drug Mart,L6Z 1Y4,Ontario,-79.7940381,43.7285431
Shoppers Drug Mart,L6T 3R5,Ontario,-79.72246,43.7143029
Shoppers Drug Mart,L6Y 0R5,Ontario,-79.7595799,43.650764
Shoppers Drug Mart,L6R 2S5,Ontario,-79.7645202,43.7299595
Shoppers Drug Mart,L6R 1W4,Ontario,-79.7312242,43.7598342
Shoppers Drug Mart,L6S 3Y5,Ontario,-79.7440183,43.7338868
Shoppers Drug Mart,L6S 3L7,Ontario,-79.7205318,43.7332431
Shoppers Drug Mart,L7A 0N5,Ontario,-79.8211824,43.6958485
Shoppers Drug Mart,L6R 0E1,Ontario,-79.7426163,43.7775938
Shoppers Drug Mart,L6Y 0J2,Ontario,-79.7645202,43.6552244
Shoppers Drug Mart,L6Z 4P7,Ontario,-79.8217953,43.7340735
Shoppers Drug Mart,L6P 2R1,Ontario,-79.6612622,43.7844175
Shoppers Drug Mart,L6W 3C9,Ontario,-79.7489252,43.694609
Shoppers Drug Mart,L7A 2X6,Ontario,-79.7992049,43.6960255
Shoppers Drug Mart,L6V 1P8,Ontario,-79.7718787,43.6953455
Shoppers Drug Mart,L6T 1H3,Ontario,-79.6998445,43.7070648
Shoppers Drug Mart,L6R 3P4,Ontario,-79.7568342,43.7553416
Shoppers Drug Mart,L6W 2E1,Ontario,-79.7483557,43.6780593
Shoppers Simply Pharmacy,L6Z 2S8,Ontario,-79.7815139,43.7117802
Sobeys Pharmacy,L6Y 0J2,Ontario,-79.7645202,43.6552244
Spring Valley Pharmacy,L6X 0R3,Ontario,-79.8203945,43.6725648
Springdale Pharmacy,L6R 1T4,Ontario,-79.7590009,43.7400547
Wal-Mart Pharmacy,L6W 0A6,Ontario,-79.7238623,43.680034
Wal-Mart Pharmacy,L6X 0B3,Ontario,-79.8198692,43.661983
Wal-Mart Pharmacy,L6V 4K2,Ontario,-79.7830905,43.7058443
Wal-Mart Pharmacy,L6T 5P9,Ontario,-79.6947596,43.740534
Wal-Mart Pharmacy,L6R 3S9,Ontario,-79.7790614,43.7728886
Westbram Pharmacy,L6X 5E9,Ontario,-79.8037585,43.6801208
Whole Health Pharmacy Riverview,L6Y 6H4,Ontario,-79.7846357,43.632975
Cenpro Pharmacy,N3T 5Z8,Ontario,-80.2715943,43.140953
Eagle Place Apothecary,N3S 1Z3,Ontario,-80.2605326,43.1327268
Fairview Remedy's,N3R 6T2,Ontario,-80.25217,43.1725215
Freshco Pharmacy,N3S 2E3,Ontario,-80.2610552,43.1356235
Legend Pharmacy,N3T 3H7,Ontario,-80.2744684,43.1444255
Metro Pharmacy,N3R 4N5,Ontario,-80.2737717,43.1563701
NoFrills Pharmacy,N3S 7S8,Ontario,-80.2415414,43.1393537
North Brant Pharmacy,N3R 7K8,Ontario,-80.2481627,43.181026
Northview Remedy's Rx,N3R 2W9,Ontario,-80.2645394,43.1689315
Pharmasave Shellard Lane Pharmacy,N3T 0B9,Ontario,-80.2991379,43.121601
Rexall,N3R 4M7,Ontario,-80.2776907,43.1521289
Shoppers Drug Mart,N3R 7E3,Ontario,-80.2624489,43.1705524
Shoppers Drug Mart,N3R 3T6,Ontario,-80.2598357,43.1515764
Shoppers Drug Mart,N3R 6B8,Ontario,-80.2397989,43.1707104
Shoppers Drug Mart,N3S 7N4,Ontario,-80.2472915,43.1399971
Shoppers Drug Mart,N3R 7R9,Ontario,-80.2786487,43.1729883
Shoppers Drug Mart,N3T 1M2,Ontario,-80.2938005,43.1306173
