Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
HOSPITAL HILL SURGERY,KY11 3BA,Primary Care Delivery Site,Fife,-3.4465133,56.0612276
MILLHILL SURGERY,KY11 4JW,Primary Care Delivery Site,Fife,-3.4509919,56.0675816
LINBURN ROAD HEALTH CENTRE,KY11 4LT,Primary Care Delivery Site,Fife,-3.4170759,56.0656308
THE LOMOND PRACTICE,KY6 1HL,Primary Care Delivery Site,Fife,-3.19464,56.1955361
NORTH GLEN MEDICAL PRACTICE,KY7 6SX,Primary Care Delivery Site,Fife,-3.1683936,56.2079437
THE GLENWOOD PRACTICE,KY6 1HL,Primary Care Delivery Site,Fife,-3.19464,56.1955361
COS LANE SURGERY,KY7 4AQ,Primary Care Delivery Site,Fife,-3.1581674,56.1906447
ROTHES MEDICAL PRACTICE,KY7 4RH,Primary Care Delivery Site,Fife,-3.1628733,56.1826756
VALLEYFIELD MEDICAL PRACTICE,KY12 8SJ,Primary Care Delivery Site,Fife,-3.596589,56.0617218
INVERKEITHING MEDICAL GROUP,KY11 1NU,Primary Care Delivery Site,Fife,-3.3969176,56.0296305
KELTY MEDICAL PRACTICE,KY4 0AE,Primary Care Delivery Site,Fife,-3.3809487,56.1342117
KENNOWAY MEDICAL GROUP,KY8 5JZ,Primary Care Delivery Site,Fife,-3.0466244,56.2094656
KINGHORN MEDICAL PRACTICE,KY3 9RT,Primary Care Delivery Site,Fife,-3.1754686,56.0692014
NICOL STREET SURGERY,KY1 1PH,Primary Care Delivery Site,Fife,-3.1648903,56.1067067
BENNOCHY MEDICAL CENTRE,KY2 5RB,Primary Care Delivery Site,Fife,-3.1740077,56.1178157
ST BRYCEDALE SURGERY,KY1 1ER,Primary Care Delivery Site,Fife,-3.1620249,56.1113969
PATH HOUSE MEDICAL PRACTICE,KY1 2PG,Primary Care Delivery Site,Fife,-3.147716,56.1195993
HOWE OF FIFE SURGERY,KY15 7JS,Primary Care Delivery Site,Fife,-3.1239744,56.2744218
LESLIE MEDICAL PRACTICE,KY6 3LQ,Primary Care Delivery Site,Fife,-3.2181539,56.200644
PITCAIRN PRACTICE LEUCHARS & BALMULLO,KY16 0DZ,Primary Care Delivery Site,Fife,-2.9330426,56.3756743
SCOONIE MEDICAL PRACTICE,KY8 4ET,Primary Care Delivery Site,Fife,-2.9984797,56.1968358
"DRS PAGE, MCDONALD & STEVENSON",KY8 4ET,Primary Care Delivery Site,Fife,-2.9984797,56.1968358
Meadows Practice,KY5 9QZ,Primary Care Delivery Site,Fife,-3.3119627,56.1288716
BENARTY MEDICAL PRACTICE,KY5 8DA,Primary Care Delivery Site,Fife,-3.321827,56.1561266
DR K THOMPSON,KY5 9QZ,Primary Care Delivery Site,Fife,-3.3119627,56.1288716
MARKINCH MEDICAL PRACTICE,KY7 6ER,Primary Care Delivery Site,Fife,-3.13242,56.2022224
METHILHAVEN SURGERY,KY8 3HR,Primary Care Delivery Site,Fife,-3.0300527,56.1860555
AIRLIE MEDICAL PRACTICE,KY8 3RS,Primary Care Delivery Site,Fife,-3.0018869,56.1878144
Newburgh Surgery,KY14 6DA,Primary Care Delivery Site,Fife,-3.2401897,56.3508787
TAYVIEW MEDICAL PRACTICE,DD6 8DJ,Primary Care Delivery Site,Fife,-2.9358006,56.437934
OAKLEY MEDICAL PRACTICE,KY12 9QH,Primary Care Delivery Site,Fife,-3.5673721,56.0854233
COAST HEALTH,KY10 2LG,Primary Care Delivery Site,Fife,-2.7296038,56.2140519
PRIMROSE LANE MEDICAL CENTRE,KY11 2ZL,Primary Care Delivery Site,Fife,-3.4316356,56.045461
PARK ROAD PRACTICE,KY11 2SE,Primary Care Delivery Site,Fife,-3.4174241,56.0400897
BLACKFRIARS MEDICAL PRACTICE,KY16 8AR,Primary Care Delivery Site,Fife,-2.8056523,56.3274853
Pipeland Medical Practice,KY16 8AR,Primary Care Delivery Site,Fife,-2.8056523,56.3274853
COAST HEALTH,KY10 2LG,Primary Care Delivery Site,Fife,-2.7296038,56.2140519
Clackmannan Community Hub,FK10 3BJ,Covid-19 Vaccination Clinic,Forth Valley,-3.7843639,56.1259963
Falkrik Community Hub,FK1 5QE,Covid-19 Vaccination Clinic,Forth Valley,-3.794533,55.9977696
Stirling Community Hub,FK8 2AU,Covid-19 Vaccination Clinic,Forth Valley,-3.9358927,56.1068004
Forth Valley Royal Hospital,FK54WR,NHS Vaccination Centre,Forth Valley,-3.8480021,56.0251154
Forth Valley Royal Hospital,FK54WR,NHS Vaccination Centre,Forth Valley,-3.8480021,56.0251154
Pharmacy Corridor - Social Care,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
OHS Covid Clinic A,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
OHS Covid Clinic B,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
